date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2023-11-07,10.474183899555026,10.474183898709137,10.474183900391038,9629394497
2023-11-08,10.463934266886685,10.463934265997057,10.463934267767916,9629394497
2023-11-09,10.453684634218343,10.45368463340719,10.453684635045843,9629394497
2023-11-10,10.44343500155,10.44343500070826,10.44343500234489,9629394497
2023-11-11,10.433185368881658,10.433185368042293,10.433185369750824,9629394497
2023-11-12,10.422935736213315,10.422935735358697,10.422935737048508,9629394497
2023-11-13,10.412686103544972,10.412686102787118,10.412686104362331,9629394497
2023-11-14,10.402436470876632,10.402436470000719,10.40243647171941,9629394497
2023-11-15,10.39218683820829,10.39218683738457,10.392186839012403,9629394497
2023-11-16,10.381937205539945,10.381937204656166,10.381937206421286,9629394497
2023-11-17,10.371687572871602,10.371687572056098,10.37168757369011,9629394497
2023-11-18,10.361437940203261,10.361437939340382,10.361437941135298,9629394497
2023-11-19,10.351188307534917,10.351188306675251,10.351188308449188,9629394497
2023-11-20,10.340938674866576,10.34093867405176,10.340938675739814,9629394497
2023-11-21,10.330689042198234,10.330689041362435,10.330689043164583,9629394497
2023-11-22,10.32043940952989,10.320439408700837,10.320439410403308,9629394497
2023-11-23,10.310189776861549,10.310189775939195,10.310189777832987,9629394497
2023-11-24,10.299940144193206,10.299940143286449,10.299940145067707,9629394497
2023-11-25,10.289690511524864,10.2896905106433,10.289690512422153,9629394497
2023-11-26,10.279440878856521,10.279440877964086,10.279440879779123,9629394497
2023-11-27,10.269191246188178,10.269191245285729,10.269191247087567,9629394497
2023-11-28,10.258941613519836,10.258941612575253,10.258941614485682,9629394497
2023-11-29,10.248691980851493,10.248691979860416,10.248691981783775,9629394497
2023-11-30,10.238442348183153,10.238442347306359,10.238442349083776,9629394497
2023-12-01,10.228192715514808,10.228192714626623,10.228192716368358,9629394497
2023-12-02,10.217943082846467,10.217943081868102,10.217943083690711,9629394497
2023-12-03,10.207693450178125,10.207693449274037,10.20769345109003,9629394497
2023-12-04,10.197443817509782,10.197443816581199,10.197443818432738,9629394497
2024-10-01,2.997602352648178,2.997602352641164,2.997602352655594,4723833696
2024-10-02,2.9952280312196056,2.995228031211804,2.9952280312271937,4723833696
2024-10-03,2.992853709791035,2.9928537097830206,2.992853709798682,4723833696
2024-10-04,2.9904793883624627,2.9904793883545175,2.9904793883699865,4723833696
2024-10-05,2.988105066933892,2.988105066926143,2.9881050669421567,4723833696
2024-10-06,2.98573074550532,2.9857307454978876,2.9857307455131528,4723833696
2024-10-07,2.9833564240767494,2.9833564240689054,2.983356424084653,4723833696
2024-10-08,2.980982102648177,2.980982102640038,2.9809821026563603,4723833696
2024-10-09,2.9786077812196066,2.9786077812112306,2.978607781228146,4723833696
2024-10-10,2.9762334597910343,2.976233459782517,2.976233459799449,4723833696
2024-10-11,2.9738591383624637,2.97385913835442,2.973859138370475,4723833696
2024-10-12,2.9714848169338914,2.971484816926027,2.9714848169421177,4723833696
2024-10-13,2.969110495505321,2.969110495497153,2.96911049551309,4723833696
2024-10-14,2.9667361740767486,2.966736174068889,2.9667361740855958,4723833696
2024-10-15,2.964361852648178,2.964361852639495,2.9643618526561935,4723833696
2024-10-16,2.961987531219606,2.961987531211762,2.9619875312283255,4723833696
2024-10-17,2.9596132097910353,2.9596132097824985,2.9596132097992864,4723833696
2024-10-18,2.957238888362463,2.9572388883542247,2.9572388883703447,4723833696
2024-10-19,2.9548645669338924,2.9548645669253744,2.954864566942379,4723833696
2024-10-20,2.95249024550532,2.9524902454966355,2.9524902455140487,4723833696
2024-10-21,2.9501159240767496,2.950115924068403,2.9501159240854236,4723833696
2024-10-22,2.9477416026481773,2.947741602639891,2.9477416026562646,4723833696
2024-10-23,2.945367281219607,2.945367281211373,2.945367281228468,4723833696
2024-10-24,2.9429929597910345,2.9429929597822584,2.942992959799466,4723833696
2024-10-25,2.940618638362464,2.9406186383539095,2.940618638370733,4723833696
2024-10-26,2.9382443169338917,2.9382443169254877,2.9382443169423094,4723833696
2024-10-27,2.935869995505321,2.9358699954965566,2.9358699955134573,4723833696
2024-10-28,2.9334956740767506,2.9334956740676232,2.9334956740847082,4723833696
